age,workclass,education_num,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week
17,Private,7,Never-married,Other-service,Own-child,0,0,15
20,Private,10,Never-married,Other-service,Own-child,0,0,12
21,Private,9,Never-married,Craft-repair,Not-in-family,0,0,32
55,Private,9,Married-civ-spouse,Other-service,Husband,0,0,60
17,Private,6,Never-married,Sales,Own-child,0,0,12
54,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,5178,0,50
29,Private,11,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40
33,?,9,Separated,?,Unmarried,0,0,20
20,Private,10,Never-married,Adm-clerical,Own-child,0,0,30
43,Private,9,Never-married,Adm-clerical,Unmarried,0,0,40
45,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40
53,Self-emp-inc,3,Married-civ-spouse,Sales,Husband,0,0,40
17,Private,6,Never-married,Sales,Own-child,0,0,10
38,Private,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40
60,Private,4,Married-civ-spouse,Machine-op-inspct,Wife,0,0,40
53,Private,13,Married-civ-spouse,Exec-managerial,Husband,0,1902,55
51,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40
21,Private,10,Never-married,Adm-clerical,Own-child,0,0,25
19,Private,10,Never-married,Adm-clerical,Other-relative,0,0,40
17,Private,7,Never-married,Sales,Unmarried,0,0,15
29,Private,11,Married-civ-spouse,Craft-repair,Husband,0,0,50
38,Private,14,Married-civ-spouse,Exec-managerial,Husband,0,0,60
52,Private,11,Married-civ-spouse,Craft-repair,Husband,0,0,40
49,Private,11,Divorced,Prof-specialty,Not-in-family,0,0,38
41,State-gov,9,Married-civ-spouse,Adm-clerical,Wife,0,0,40
50,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,0,0,40
33,Private,13,Married-civ-spouse,Prof-specialty,Husband,0,0,45
41,Private,10,Married-civ-spouse,Tech-support,Husband,3137,0,40
28,Private,13,Never-married,Sales,Not-in-family,0,0,40
20,Private,9,Never-married,Adm-clerical,Own-child,0,0,20
50,State-gov,11,Married-civ-spouse,Prof-specialty,Husband,0,0,40
19,Private,10,Never-married,Sales,Own-child,0,0,38
30,Private,9,Divorced,Craft-repair,Own-child,0,0,40
39,Private,9,Married-civ-spouse,Craft-repair,Husband,0,0,40
34,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,0,0,70
42,Private,1,Married-civ-spouse,Craft-repair,Husband,0,0,40
45,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40
43,Private,7,Married-civ-spouse,Handlers-cleaners,Wife,0,0,25
46,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40
39,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Wife,0,0,40
49,Private,9,Divorced,Other-service,Own-child,0,0,40
33,Private,15,Never-married,Prof-specialty,Not-in-family,0,0,40
44,Private,9,Married-civ-spouse,Transport-moving,Husband,0,0,40
42,Private,9,Married-civ-spouse,Sales,Husband,0,0,40
74,State-gov,16,Never-married,Prof-specialty,Other-relative,0,3683,20
57,Private,9,Married-civ-spouse,Sales,Husband,0,0,30
24,Private,10,Never-married,Adm-clerical,Own-child,0,0,30
59,Private,9,Married-civ-spouse,Transport-moving,Husband,0,0,40
21,Private,10,Never-married,Sales,Own-child,0,0,20
31,Private,9,Divorced,Transport-moving,Not-in-family,0,0,40
36,Private,13,Never-married,Prof-specialty,Not-in-family,0,0,40
30,Private,10,Never-married,Other-service,Unmarried,0,0,36
49,Private,4,Never-married,Prof-specialty,Other-relative,0,0,45
17,?,8,Never-married,?,Own-child,0,0,40
69,Private,9,Married-civ-spouse,Sales,Husband,0,0,10
47,Private,9,Divorced,Machine-op-inspct,Not-in-family,4650,0,40
21,Private,10,Never-married,Handlers-cleaners,Own-child,0,0,40
48,Federal-gov,13,Married-civ-spouse,Adm-clerical,Wife,7688,0,40
49,Private,9,Married-civ-spouse,Craft-repair,Husband,0,0,40
55,Private,13,Married-civ-spouse,Adm-clerical,Husband,0,0,40
17,Self-emp-not-inc,6,Never-married,Other-service,Own-child,0,0,24
46,Private,10,Married-civ-spouse,Adm-clerical,Husband,0,0,40
29,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,0,0,60
42,Private,10,Married-civ-spouse,Craft-repair,Husband,0,0,40
20,Private,5,Never-married,Other-service,Unmarried,0,0,30
41,Private,13,Never-married,Prof-specialty,Not-in-family,0,0,40
30,Private,10,Separated,Adm-clerical,Unmarried,0,0,40
46,Private,11,Divorced,Protective-serv,Not-in-family,0,0,40
32,Private,13,Married-civ-spouse,Handlers-cleaners,Husband,0,0,50
21,?,10,Never-married,?,Own-child,0,0,35
27,Private,13,Never-married,Farming-fishing,Not-in-family,0,0,65
59,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40
50,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,0,0,60
30,Private,10,Married-civ-spouse,Sales,Wife,0,0,40
41,State-gov,13,Married-civ-spouse,Prof-specialty,Wife,0,0,40
19,Federal-gov,9,Never-married,Adm-clerical,Unmarried,0,0,40
21,Private,2,Married-civ-spouse,Other-service,Other-relative,0,0,40
45,Private,10,Separated,Craft-repair,Not-in-family,0,0,41
31,Private,14,Never-married,Prof-specialty,Not-in-family,0,0,30
27,Private,9,Divorced,Sales,Own-child,0,0,35
42,Private,9,Divorced,Machine-op-inspct,Not-in-family,0,0,40
67,Private,9,Married-civ-spouse,Sales,Husband,0,0,40
23,Private,9,Never-married,Priv-house-serv,Unmarried,0,0,40
36,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,2407,0,40
28,Private,10,Never-married,Sales,Other-relative,0,0,40
51,Local-gov,12,Married-civ-spouse,Adm-clerical,Wife,0,1628,30
29,Private,9,Divorced,Adm-clerical,Unmarried,0,0,50
35,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,2885,0,40
29,Private,10,Married-civ-spouse,Prof-specialty,Husband,0,0,40
34,?,9,Married-civ-spouse,?,Husband,0,0,40
27,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,0,0,50
19,?,8,Never-married,?,Own-child,0,0,28
22,Private,9,Never-married,Transport-moving,Not-in-family,0,0,35
20,?,10,Never-married,?,Own-child,0,0,40
72,Private,6,Married-civ-spouse,Sales,Husband,0,0,15
45,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,7688,0,50
32,State-gov,9,Married-civ-spouse,Craft-repair,Husband,0,0,49
42,Private,9,Divorced,Adm-clerical,Unmarried,0,0,40
33,Private,9,Married-civ-spouse,Tech-support,Husband,0,0,40
51,Private,9,Married-civ-spouse,Adm-clerical,Other-relative,0,0,40
24,Private,13,Never-married,Sales,Own-child,0,0,40
46,Private,4,Married-civ-spouse,Prof-specialty,Wife,0,0,45
56,Private,10,Married-civ-spouse,Adm-clerical,Husband,0,0,35
65,?,13,Married-civ-spouse,?,Husband,10605,0,40
39,Private,9,Married-civ-spouse,Adm-clerical,Wife,0,0,40
45,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,0,0,80
23,Private,13,Never-married,Prof-specialty,Not-in-family,0,0,25
50,Private,10,Divorced,Adm-clerical,Not-in-family,0,0,40
32,Private,9,Divorced,Adm-clerical,Own-child,0,0,40
33,Private,10,Separated,Exec-managerial,Unmarried,0,0,40
42,Private,14,Divorced,Prof-specialty,Not-in-family,4650,0,40
49,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,0,0,40
51,?,9,Separated,?,Not-in-family,0,0,6
52,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,48
21,Private,9,Never-married,Other-service,Own-child,0,0,35
48,Self-emp-not-inc,13,Married-spouse-absent,Exec-managerial,Not-in-family,0,0,40
26,Private,10,Never-married,Exec-managerial,Unmarried,0,0,40
44,State-gov,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40
22,Private,12,Never-married,Handlers-cleaners,Own-child,0,0,20
23,Private,10,Never-married,Adm-clerical,Not-in-family,0,0,24
49,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,0,0,47
21,Private,12,Never-married,Sales,Own-child,0,0,32
63,Private,13,Married-civ-spouse,Adm-clerical,Husband,0,0,40
50,Federal-gov,12,Married-civ-spouse,Craft-repair,Husband,0,0,40
43,Self-emp-not-inc,13,Never-married,Sales,Not-in-family,0,0,60
66,?,4,Married-civ-spouse,?,Husband,0,0,32
36,Private,12,Married-civ-spouse,Prof-specialty,Husband,0,0,40
25,Private,14,Never-married,Prof-specialty,Own-child,0,0,40
35,Private,9,Married-civ-spouse,Transport-moving,Husband,0,0,50
23,Local-gov,9,Never-married,Transport-moving,Own-child,0,0,40
32,Private,9,Never-married,Adm-clerical,Other-relative,0,0,35
17,Private,8,Never-married,Sales,Own-child,0,0,20
54,Private,9,Widowed,Handlers-cleaners,Unmarried,0,0,40
46,Private,10,Married-civ-spouse,Craft-repair,Husband,0,0,40
35,Private,13,Never-married,Exec-managerial,Not-in-family,0,0,45
54,Self-emp-not-inc,13,Divorced,Exec-managerial,Not-in-family,0,0,50
50,Private,13,Married-civ-spouse,Tech-support,Husband,0,0,40
36,State-gov,10,Divorced,Other-service,Unmarried,0,0,20
53,Private,12,Divorced,Adm-clerical,Unmarried,0,0,48
41,Local-gov,10,Divorced,Adm-clerical,Unmarried,0,0,40
36,Self-emp-not-inc,12,Divorced,Sales,Unmarried,0,0,35
20,Private,9,Never-married,Sales,Own-child,0,0,25
42,Private,9,Married-civ-spouse,Exec-managerial,Husband,0,0,50
23,Private,13,Never-married,Adm-clerical,Not-in-family,0,0,40
55,State-gov,9,Married-civ-spouse,Tech-support,Wife,0,1887,40
43,Private,10,Divorced,Exec-managerial,Unmarried,0,0,45
29,Private,6,Married-spouse-absent,Adm-clerical,Unmarried,0,0,40
48,Federal-gov,10,Never-married,Adm-clerical,Not-in-family,0,0,40
22,Private,9,Never-married,Craft-repair,Not-in-family,0,0,40
36,State-gov,10,Never-married,Exec-managerial,Unmarried,0,0,40
24,State-gov,4,Never-married,Tech-support,Unmarried,0,0,20
35,Self-emp-not-inc,9,Divorced,Farming-fishing,Not-in-family,0,0,80
34,Private,10,Divorced,Sales,Not-in-family,0,0,40
56,Private,11,Married-civ-spouse,Sales,Husband,15024,0,40
65,?,9,Married-civ-spouse,?,Husband,0,0,40
45,Private,9,Divorced,Other-service,Unmarried,0,0,40
74,Private,10,Married-civ-spouse,Sales,Husband,0,0,20
55,Private,6,Married-civ-spouse,Transport-moving,Husband,0,0,50
18,Private,9,Never-married,Other-service,Own-child,0,0,40
53,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,0,1902,48
50,Private,9,Married-civ-spouse,Craft-repair,Husband,0,0,50
21,Private,9,Never-married,Handlers-cleaners,Not-in-family,0,0,40
36,Private,11,Married-civ-spouse,Machine-op-inspct,Husband,3103,0,40
21,Private,9,Never-married,Sales,Not-in-family,0,0,55
62,?,9,Married-civ-spouse,?,Husband,0,0,40
23,Private,9,Divorced,Exec-managerial,Unmarried,0,0,40
66,Local-gov,10,Divorced,Other-service,Other-relative,7896,0,40
28,Private,13,Never-married,Adm-clerical,Not-in-family,0,0,40
66,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,0,0,70
48,Private,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40
36,Private,12,Divorced,Sales,Unmarried,0,0,40
42,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,0,0,52
43,Self-emp-inc,12,Married-civ-spouse,Exec-managerial,Husband,0,0,50
52,Private,8,Married-civ-spouse,Craft-repair,Husband,0,0,45
43,?,9,Divorced,?,Unmarried,0,0,40
38,Private,11,Married-civ-spouse,Craft-repair,Husband,0,0,40
31,Private,6,Never-married,Other-service,Not-in-family,0,0,40
21,Private,10,Never-married,Sales,Own-child,0,0,15
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,0,0,40
36,Private,12,Divorced,Tech-support,Not-in-family,0,0,60
17,Private,7,Never-married,Priv-house-serv,Own-child,0,0,25
65,?,1,Married-civ-spouse,?,Husband,0,0,30
54,Private,10,Divorced,Sales,Unmarried,0,0,48
18,Private,8,Never-married,Sales,Own-child,0,0,25
57,Private,14,Married-civ-spouse,Prof-specialty,Husband,0,0,55
49,Private,13,Divorced,Exec-managerial,Unmarried,0,0,40
61,Private,9,Widowed,Sales,Not-in-family,0,0,35
50,Private,9,Married-civ-spouse,Prof-specialty,Husband,0,0,40
37,Federal-gov,10,Married-civ-spouse,Adm-clerical,Husband,7688,0,40
45,State-gov,9,Divorced,Transport-moving,Not-in-family,0,0,48
56,State-gov,14,Divorced,Prof-specialty,Not-in-family,0,1669,40
70,Private,6,Married-civ-spouse,Machine-op-inspct,Husband,0,0,50
42,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,7298,0,50
34,Private,13,Married-civ-spouse,Prof-specialty,Husband,0,0,50
46,Private,13,Married-civ-spouse,Sales,Husband,0,0,50
55,?,12,Married-civ-spouse,?,Husband,0,0,20
47,Private,10,Divorced,Tech-support,Unmarried,0,0,40
62,?,9,Married-civ-spouse,?,Husband,0,0,40
22,Private,9,Never-married,Adm-clerical,Not-in-family,0,0,60
36,Private,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50
50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,0,0,75
29,Private,12,Never-married,Sales,Own-child,0,0,40
19,Private,10,Never-married,Adm-clerical,Not-in-family,0,0,40
51,Private,13,Married-civ-spouse,Prof-specialty,Husband,0,0,55
19,?,9,Never-married,?,Not-in-family,0,0,40
51,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,0,0,45
24,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,50
48,Private,9,Married-civ-spouse,Exec-managerial,Wife,0,0,40
24,Self-emp-not-inc,9,Separated,Other-service,Unmarried,0,0,50
49,Local-gov,10,Married-civ-spouse,Handlers-cleaners,Husband,7298,0,40
52,Private,9,Married-civ-spouse,Farming-fishing,Husband,0,0,49
39,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,0,0,45
35,Private,9,Divorced,Other-service,Unmarried,0,1594,40
33,Private,8,Separated,Adm-clerical,Unmarried,1471,0,40
70,?,9,Widowed,?,Not-in-family,2964,0,12
59,Private,10,Married-civ-spouse,Exec-managerial,Husband,0,0,40
31,Private,9,Divorced,Craft-repair,Own-child,0,0,50
33,Private,14,Married-civ-spouse,Tech-support,Husband,0,0,15
47,State-gov,9,Divorced,Adm-clerical,Unmarried,0,0,38
35,Private,9,Married-civ-spouse,Transport-moving,Husband,5178,0,90
60,Private,9,Widowed,Handlers-cleaners,Not-in-family,0,0,40
22,Self-emp-not-inc,10,Never-married,Sales,Own-child,99999,0,55
33,Private,9,Divorced,Sales,Not-in-family,0,0,50
52,Local-gov,16,Married-civ-spouse,Prof-specialty,Wife,0,0,40
44,Private,12,Never-married,Farming-fishing,Own-child,0,0,40
56,Self-emp-not-inc,4,Divorced,Sales,Other-relative,0,0,20
44,Local-gov,10,Divorced,Exec-managerial,Not-in-family,0,0,50
57,Private,3,Divorced,Transport-moving,Unmarried,6497,0,40
31,Private,13,Married-civ-spouse,Other-service,Husband,0,0,40
47,Private,9,Married-civ-spouse,Prof-specialty,Husband,0,0,50
30,State-gov,9,Married-civ-spouse,Adm-clerical,Husband,0,1902,40
31,Private,10,Never-married,Craft-repair,Not-in-family,0,0,40
37,Private,10,Married-civ-spouse,Sales,Wife,7298,0,40
43,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,15024,0,60
42,Self-emp-not-inc,11,Married-civ-spouse,Exec-managerial,Husband,0,0,60
44,Self-emp-not-inc,3,Married-civ-spouse,Craft-repair,Husband,0,0,40
44,Self-emp-not-inc,9,Never-married,Craft-repair,Not-in-family,14344,0,40
29,Private,9,Married-civ-spouse,Craft-repair,Husband,0,0,40
18,?,9,Never-married,?,Own-child,0,0,30
39,Private,10,Married-civ-spouse,Craft-repair,Own-child,0,0,40
40,Private,11,Married-civ-spouse,Prof-specialty,Husband,0,0,40
19,Private,8,Married-spouse-absent,Other-service,Own-child,0,0,20
52,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40
33,Local-gov,6,Divorced,Transport-moving,Not-in-family,0,0,40
31,Private,12,Divorced,Craft-repair,Not-in-family,0,0,50
34,Private,9,Never-married,Craft-repair,Unmarried,2036,0,30
59,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,0,0,50
47,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,0,1902,45
61,Federal-gov,14,Widowed,Prof-specialty,Unmarried,0,0,40
62,Private,9,Widowed,Adm-clerical,Not-in-family,0,0,38
19,?,10,Never-married,?,Own-child,0,0,30
23,Private,7,Divorced,Other-service,Unmarried,0,0,35
67,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,0,0,35
35,Private,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40
59,Self-emp-not-inc,6,Married-civ-spouse,Farming-fishing,Husband,0,0,40
47,Private,10,Married-civ-spouse,Craft-repair,Husband,0,0,40
60,Private,9,Widowed,Machine-op-inspct,Not-in-family,0,0,40
19,?,10,Never-married,?,Own-child,0,0,40
28,Federal-gov,9,Never-married,Exec-managerial,Unmarried,0,0,70
42,Self-emp-not-inc,14,Married-civ-spouse,Prof-specialty,Husband,0,0,65
43,Private,10,Married-civ-spouse,Tech-support,Husband,0,0,40
27,Private,13,Never-married,Prof-specialty,Not-in-family,0,0,60
36,Self-emp-inc,10,Divorced,Sales,Unmarried,0,0,55
30,Local-gov,10,Never-married,Protective-serv,Not-in-family,0,1974,40
48,Private,14,Married-civ-spouse,Exec-managerial,Husband,0,0,45
17,Local-gov,5,Never-married,Other-service,Own-child,0,0,45
53,Private,9,Married-civ-spouse,Craft-repair,Husband,0,0,46
42,Private,6,Married-civ-spouse,Transport-moving,Husband,0,0,50
24,Private,10,Never-married,Handlers-cleaners,Own-child,0,0,50
22,Private,9,Never-married,Machine-op-inspct,Own-child,0,0,40
18,Private,7,Never-married,Exec-managerial,Own-child,0,0,20
33,Private,13,Married-civ-spouse,Exec-managerial,Husband,0,0,55
35,Private,12,Divorced,Other-service,Unmarried,0,0,50
41,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,0,0,10
31,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40
30,Private,9,Married-spouse-absent,Adm-clerical,Not-in-family,0,0,40
51,Federal-gov,10,Married-civ-spouse,Prof-specialty,Husband,0,0,40
28,?,13,Never-married,?,Own-child,0,0,45
32,Private,13,Divorced,Sales,Unmarried,0,0,30
23,Self-emp-not-inc,10,Never-married,Farming-fishing,Own-child,0,0,35
51,Private,2,Married-civ-spouse,Other-service,Husband,0,0,54
66,Private,13,Married-civ-spouse,Craft-repair,Husband,0,0,30
35,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,0,0,40
53,Private,14,Married-civ-spouse,Exec-managerial,Husband,0,0,40
48,Self-emp-inc,10,Never-married,Craft-repair,Not-in-family,0,0,45
53,Private,9,Married-civ-spouse,Farming-fishing,Husband,0,0,45
30,Private,9,Never-married,Craft-repair,Not-in-family,0,0,35
47,Private,9,Divorced,Machine-op-inspct,Unmarried,0,0,60
20,Private,7,Never-married,Transport-moving,Own-child,0,0,15
39,Federal-gov,13,Divorced,Tech-support,Unmarried,0,625,40
35,Private,13,Never-married,Other-service,Not-in-family,0,0,37
32,Private,9,Married-civ-spouse,Transport-moving,Husband,0,0,50
43,Private,9,Married-civ-spouse,Craft-repair,Husband,0,0,40
47,Private,9,Married-civ-spouse,Sales,Own-child,0,0,38
46,Private,10,Married-civ-spouse,Exec-managerial,Husband,0,0,40
37,Private,9,Never-married,Other-service,Own-child,0,0,40
20,Private,10,Never-married,Sales,Own-child,0,0,20
39,Private,10,Divorced,Transport-moving,Not-in-family,0,0,65
31,Private,2,Never-married,Handlers-cleaners,Not-in-family,0,0,37
30,Private,9,Married-civ-spouse,Transport-moving,Husband,5013,0,40
64,Private,14,Never-married,Prof-specialty,Other-relative,0,0,8
44,Private,10,Separated,Craft-repair,Not-in-family,0,1876,55
46,Private,10,Never-married,Handlers-cleaners,Not-in-family,0,0,40
39,Private,10,Divorced,Sales,Not-in-family,0,0,45
53,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,7688,0,20
30,Local-gov,13,Never-married,Prof-specialty,Not-in-family,0,0,40
33,Private,9,Divorced,Exec-managerial,Not-in-family,0,0,40
44,Local-gov,14,Never-married,Prof-specialty,Not-in-family,0,1876,42
45,Private,8,Married-civ-spouse,Adm-clerical,Wife,3103,0,40
26,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40
70,Private,11,Married-civ-spouse,Machine-op-inspct,Husband,9386,0,50
36,Private,6,Never-married,Farming-fishing,Own-child,0,0,60
37,Private,9,Married-civ-spouse,Craft-repair,Husband,0,0,45
43,Private,9,Never-married,Prof-specialty,Not-in-family,4650,0,40
41,Private,10,Divorced,Adm-clerical,Not-in-family,0,0,40
32,?,4,Married-spouse-absent,?,Not-in-family,0,0,40
53,Private,9,Married-civ-spouse,Transport-moving,Husband,0,0,60
18,Private,9,Never-married,Craft-repair,Own-child,0,0,25
23,Private,10,Never-married,Sales,Other-relative,0,0,25
50,Private,11,Married-civ-spouse,Exec-managerial,Husband,0,0,50
40,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,0,0,45
29,Federal-gov,15,Never-married,Prof-specialty,Not-in-family,0,0,55
24,Private,7,Never-married,Machine-op-inspct,Unmarried,0,0,40
35,Private,9,Married-civ-spouse,Adm-clerical,Husband,0,0,45
26,Private,10,Married-civ-spouse,Exec-managerial,Husband,2407,0,50
22,Private,10,Never-married,Other-service,Own-child,0,0,15
48,Self-emp-not-inc,10,Separated,Sales,Unmarried,0,0,50
23,Private,13,Never-married,Machine-op-inspct,Own-child,0,0,40
28,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,5013,0,55
28,Self-emp-not-inc,7,Never-married,Craft-repair,Not-in-family,0,0,40
52,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,0,0,45
45,Private,10,Never-married,Craft-repair,Not-in-family,0,0,80
49,Self-emp-not-inc,13,Never-married,Exec-managerial,Own-child,0,0,40
27,Private,9,Never-married,Adm-clerical,Own-child,0,0,40
20,Private,10,Divorced,Other-service,Own-child,0,0,29
27,Private,11,Never-married,Exec-managerial,Not-in-family,10520,0,65
38,Private,10,Divorced,Craft-repair,Not-in-family,0,0,44
58,Private,13,Divorced,Adm-clerical,Not-in-family,14084,0,40
32,Private,12,Married-civ-spouse,Tech-support,Husband,0,0,42
43,State-gov,10,Divorced,Adm-clerical,Not-in-family,0,0,40
60,Private,14,Married-civ-spouse,Transport-moving,Husband,0,0,10
18,Private,9,Never-married,Sales,Own-child,0,0,38
38,Private,9,Never-married,Machine-op-inspct,Not-in-family,0,0,40
39,Private,13,Never-married,Exec-managerial,Own-child,0,0,35
38,Private,9,Married-civ-spouse,Craft-repair,Husband,0,1902,40
39,Private,13,Divorced,Exec-managerial,Not-in-family,0,0,50
45,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,0,1977,60
22,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,0,0,28
37,Self-emp-inc,16,Married-civ-spouse,Prof-specialty,Husband,0,0,99
51,Private,10,Divorced,Adm-clerical,Not-in-family,0,0,63
42,Private,13,Divorced,Exec-managerial,Unmarried,0,0,40
32,Private,6,Never-married,Machine-op-inspct,Own-child,0,0,40
54,Self-emp-not-inc,9,Married-civ-spouse,Transport-moving,Husband,0,0,15
63,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,Husband,41310,0,50
37,Private,9,Divorced,Sales,Unmarried,0,0,25
37,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,0,0,50
29,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,0,1485,40
49,Private,3,Married-civ-spouse,Craft-repair,Husband,0,0,40
36,Private,6,Never-married,Transport-moving,Not-in-family,0,0,40
20,?,10,Never-married,?,Own-child,0,0,36
18,Private,7,Never-married,Other-service,Own-child,0,0,19
25,Private,10,Never-married,Exec-managerial,Own-child,0,0,40
58,Local-gov,9,Married-civ-spouse,Farming-fishing,Husband,0,0,40
26,?,13,Married-civ-spouse,?,Wife,0,0,40
25,Local-gov,12,Never-married,Adm-clerical,Own-child,0,0,38
55,?,12,Married-spouse-absent,?,Not-in-family,0,0,5
30,Private,9,Never-married,Transport-moving,Not-in-family,0,0,60
54,Private,9,Married-civ-spouse,Transport-moving,Husband,0,0,50
27,Private,9,Never-married,Sales,Not-in-family,0,0,30
36,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,0,0,45
42,Private,9,Divorced,Handlers-cleaners,Unmarried,0,0,40
